Title,Abstract Note,Manual Tags
24th International SSBP Research Symposium: Developmental Disorders and Behavioural Phenotypes Across the Lifespan,"The proceedings contain 25 papers. The topics discussed include: clinical phenotype and molecular biomarkers in fragile X syndrome; an anchor-based approach to determining minimal clinically meaningful change in cognitive and adaptive behavior ability scores: indexing against key developmental milestones; the TAND toolkit app: participatory development of a mobile app to reduce the TSC-associated neuropsychiatric disorders identification and treatment gap; features of the fragile x-associated tremor/ataxia in premutation carriers; bridging the gap between research and clinical practice; findings from a nationwide, multicenter mental health service for adults with autism and intellectual disability; autism symptom profiles in children and young adults with fragile X syndrome, neurofibromatosis type 1, tuberous sclerosis complex and Angelman syndrome; an examination of the caregiver-reported profile and function of behavior directed towards others (aggressive behavior) in children and adults with SATB2-associated syndrome; the extraordinary babies study: developmental profiles of infants with prenatally identified sex chromosome trisomies; and bias in measurement of autism symptoms by language level and non-verbal mental age in minimally verbal children with neurodevelopmental disorders.",adaptive behavior; adult; aggression; ataxia; autism; biological marker; caregiver; child; clinical practice; conference review; controlled study; developmental disorder; fragile X syndrome; happy puppet syndrome; human; infant; intellectual impairment; language; lifespan; mental disease; mental health service; mobile application; multicenter study; neurofibromatosis type 1; phenotype; sex chromosome; tremor; trisomy; tuberous sclerosis; young adult
Problematic sexual behaviors of adolescents with intellectual disability in Saudi Arabia: uncovering the hidden,"Problematic sexual behaviors signal the need to understand the thoughts and needs of adolescents with intellectual disability. This study investigates the experiences of the family members and teachers who must manage those issues. We employed a hermeneutic phenomenological approach to gain insight into the thoughts and perceptions of two mothers, three brothers, and seven teachers. We conducted in-depth, semistructured interviews and convened focus groups to collect data. The findings refer to the following themes: the forms that problematic sexual behavior takes, the feelings that are associated with it, its management, the detection of aberrant conduct, the identification of its causes, and suggestions for improvements. The findings may refine the academic understanding of the behaviors in question, of their causes, of the experiences of relatives and teachers, and of the means of addressing the attendant problems. This study may also prove useful to family members and teachers of individuals with intellectual disability. Further implications and recommendations that emerge from the findings are also discussed.",adolescent; adult; article; attention; awareness; behavior modification; boredom; brother; care behavior; clinical article; family; female; human; intellectual impairment; male; mother; perception; personal experience; problem behavior; Saudi Arabia; semi structured interview; sexual behavior; sexual dysfunction; sexual education; teacher; thinking
Assessing the need for reactive behaviour management strategies in children with intellectual disability and severe challenging behaviour,"The need for reactive behavioral management strategies for aggressive behaviors in adults with intellectual disability has been clearly established, but equivalent information concerning children with challenging behavior is lacking by comparison. The present study was conducted in order to assess this need. A retrospective study was conducted to ascertain the nature of aggressive behaviors amongst a cohort children (5–18 yrs old) referred to a specialist support service. Aggressive behaviors were found to occur at high rates within the study group. Almost 60% of the children displayed aggression that occurred at least daily, and the behaviors resulted in serious consequences for carers in almost one-third of the group. Physical interventions were already in use in 56% of cases, but were largely improvised by carers. The need to include reactive behavioral training as part of an overall intervention package for carers of children with challenging behavior appeared to be supported by the present results. The implications for training design are discussed. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",Adolescence (13-17 yrs); Adulthood (18 yrs & older); Aggressive Behavior; Behavior Modification; Behavior Problems; Childhood (birth-12 yrs); Female; Intellectual Development Disorder; Male; Preschool Age (2-5 yrs); School Age (6-12 yrs)
"Drug-refractory aggression, self-injurious behavior, and severe tantrums in autism spectrum disorders: A chart review study","Aggression, self-injurious behavior, and severe tantrums are impairing symptoms frequently experienced by individuals with autism spectrum disorders. Despite US Food and Drug Administration approval of two atypical antipsychotics targeting these symptoms in youth with autistic disorder, they remain frequently drug refractory. We define drugrefractory aggression, self-injurious behavior, and severe tantrums in people with autism spectrum disorders as behavioral symptoms requiring medication adjustment despite previous trials of risperidone and aripiprazole or previous trials of three psychotropic drugs targeting the symptom cluster, one of which was risperidone or aripiprazole. We reviewed the medical records of individuals of all ages referred to our clinic for autism spectrum disorder diagnostic evaluation, as well as pharmacotherapy follow-up notes for all people meeting autism spectrum disorder criteria, for drug-refractory symptoms. Among 250 consecutively referred individuals, 135 met autism spectrum disorder and enrollment criteria, and 53 of these individuals met drug-refractory symptom criteria. Factors associated with drug-refractory symptoms included age 12 years or older (p < 0.0001), diagnosis of autistic disorder (p = 0.0139), and presence of intellectual disability (p = 0.0273). This pilot report underscores the significance of drug-refractory aggression, self-injurious behavior, and severe tantrums; suggests the need for future study clarifying factors related to symptom development; and identifies the need for focused treatment study of this impairing symptom domain.",adolescent; adult; aggression; anger; antidepressant agent; aripiprazole; autism; automutilation; behavior disorder; child; clonidine; disease severity; female; human; intellectual impairment; major clinical study; male; medical record review; neuroleptic agent; quetiapine; review; risperidone; sertraline
Overcoming the barriers experienced in conducting a medication trial in adults with aggressive challenging behaviour and intellectual disabilities,"Background: Aggressive challenging behaviour in people with intellectual disability (ID) is frequently treated with antipsychotic drugs, despite a limited evidence base. Method: A multi-centre randomised controlled trial was undertaken to investigate the efficacy, adverse effects and costs of two commonly prescribed antipsychotic drugs (risperidone and haloperidol) and placebo. Results: The trial faced significant problems in recruitment. The intent was to recruit 120 patients over 2 years in three centres and to use a validated aggression scale (Modified Overt Aggression Scale) score as the primary outcome. Despite doubling the period of recruitment, only 86 patients were ultimately recruited. Conclusions: Variation in beliefs over the efficacy of drug treatment, difficulties within multidisciplinary teams and perceived ethical concerns over medication trials in this population all contributed to poor recruitment. Where appropriate to the research question cluster randomised trials represent an ethically and logistically feasible alternative to individually randomised trials. © 2009 The Authors. Journal Compilation © 2009 Blackwell Publishing Ltd.",adult; aggression; article; behavior disorder; clinical assessment tool; clinical trial; controlled clinical trial; controlled study; drug cost; drug efficacy; drug response; haloperidol; health belief; human; intellectual impairment; major clinical study; modified overt aggression scale; multicenter study; outcome assessment; patient attitude; patient selection; placebo; randomized controlled trial; risperidone; verbal hostility
Incorporating social-problem solving strategies into individual service plans for individuals with intellectual disabilities,"Aim: Problem behaviours are a public health problem for individuals with intellectual disabilities (ID), often leading to using psychotropic medications for management, to emergency department visits and psychiatric hospitalisations. Evidence indicates that social proble msolving interventions are effective in reducing problem behaviours, however, interventions were largely conducted in clinical and forensic settings. We modified and tailored an existing research-based social problem-solving programme (now called Steps to Effective Problem Solving [STEPS]) as a preventive intervention in the community and piloted the programme with promising results. The aim of this project is assessment of whether skills learned from STEPS can be incorporated into Individual Support Plans (ISP). Method: Sample ISP goals were created utilising frequent scenarios leading to problem behaviours identified during the STEPS pilot and using skills learned in STEPS. With research ethics approval, participants with ID in the STEPS pilot, their residential staff and case managers were interviewed on how they might use STEPS skills learned in planning ISP goals. Results: Scenarios, strategies and sample ISP goals were well-received. Conclusions: Incorporating STEPS skills into ISP may enhance long-term use of the skills.",case manager; clinical study; doctor patient relationship; emergency ward; human; intellectual impairment; problem behavior; problem solving; psychotropic agent; public health problem; research ethics; skill
Measuring the fidelity of interventions among people with intellectual disability,"Introduction: Steps to Effective Problem-Solving program (STEPS) is an NIH funded efficacy clinical trial. Hypothesized results are improved social problem-solving skills and reduced problem behaviors in group homes receiving STEPS versus our attention-control Food for Life. One outcome of clinical trials is moving interventions into widescale dissemination; for this, it is important to evaluate implementation fidelity, which includes evaluating social and communication competence in facilitation of interventions. As part of the clinical trial, the purpose of this work was to develop scoring examples for Breitenstein's Fidelity Checklist, in order to ensure reliability in evaluating and scoring the fidelity our interventions. The Aims were to: 1) identify examples of specific competence skills, such as appropriately reinforcing participants' ideas and facilitating sharing of ideas in the STEPS and Food for Life interventions; and 2) provide examples that differentiate scores 1-3 on competence skills. Methods: Two coders independently checked audiotaped sessions from seven group homes in both conditions, seven from STEPS and seven Food for Life and together developed adherence coding examples. Results: We provide and discuss examples of statements and behaviors for each competence item score added to Breitenstein's coding manual. Implications: This work improves our knowledge of evaluating intervention implementation fidelity among people with ID.",adult; attention; checklist; conference abstract; controlled study; human; intellectual impairment; problem behavior; problem solving; reliability; residential home; skill; social problem
Neuropsychiatric Functioning in CDLS: A Detailed Phenotype and Genotype Correlation,"Behavioural phenotype and autism-related traits of 38 patients affected by Cornelia de Lange syndrome (CdLS) were assessed using a specific neuropsychiatric protocol. Subsequently,we search for possible genotype–phenotype correlations comparing individuals with NIPBL variants and patients with negative molecular results. Firstly results showed a higher percentage of subjects with normal intellectual quotient (IQ) and borderline IQ; adaptive skills were lower than expected for age in all participants. 39.5% of the sample presented with autism spectrum disorder (ASD), NIPBL mutated individuals demonstrated a worse trend in comparison with the clinical diagnosis group. non-truncating individuals displayed no ASD and better communication abilities than truncating individuals. Findings increase our awareness of the strengths and weaknesses points in CdLS individuals.",adaptive behavior; adolescent; aggression; article; autism; buccal swab; child; Child Behavior Checklist; Childhood Autism Rating Scale; clinical article; clinical assessment; cohort analysis; controlled study; de Lange syndrome; externalizing disorder; female; genotype phenotype correlation; histone deacetylase 8; human; infant; intellectual impairment; intelligence quotient; interpersonal communication; language; male; mental disease assessment; missense mutation; motor performance; nonsense mutation; protein; quality of life; rad21 protein; Sanger sequencing; smc3 protein; social problem; socialization; unclassified drug; Vineland Adaptive Behavior Scale
From challenge to change: Effects of a systemic intervention in a group home setting,"Background: With regard to people with mild intellectual disability and challenging behaviour, usual pedagogic or therapeutic concepts for intellectual disability often do not work. The presentation illustrates the story of a young resident of a group home who was in danger of being discharged by the institution because of his massive inadequate and sexualised behaviour. Methods: The leader of the residential group home the guy lived in participated in the SYMPA training program and briefed her staff in systemic thinking. A new pedagogic concept incorporating systemic attitudes and methods was developed and installed in cooperation with the multi-carer system of the client. The most important method was an accurate clarification and negotiation of concerns and requests of the client, his carers, relatives and psychiatric staff. This was followed by interviews with the client and the use of reflecting teams. Results/Aims: Due to the changed attitude of the staff members and the integration of relevant carer systems of the client, a new concept could be created that supported the client in gaining more quality of life and being able to stay in the institution. The residential staff got motivated in dealing with behavioural problems and considered challenging behaviour as a challenge to step up the plate and not as a burden. Conclusions: With regard to the frequent turnover of pedagogic staff in the field of intellectual disability, the sustainability of SYMPA depends on a continuous implementation of systemic techniques for maintaining the achieved standard in posture and assistance. From Science to Practice: The jointly developed and implemented SYMPA-concept paid off for the residential staff because they created a shared language and a solution-focused action plan. It also paid off for the client: he still lives in the same group home.",body position; conference abstract; controlled study; female; human; intellectual impairment; interview; language; leadership; male; negotiation; problem behavior; quality of life; relative; residential home; staff; thinking; training; turnover rate
Teachers’ experiences of remote teaching in the COVID-19 pandemic for students with intellectual disabilities in the kingdom of Saudi Arabia,"The objective of this study is to investigate the experiences of teachers of students with Intellectual Disabilities (ID) with remote teaching during the COVID-19 pandemic, and to suggest solutions to address challenges. The study used an electronic questionnaire to collect field data from 150 teachers of students with IDs located in various cities of the Kingdom of Saudi Arabia (KSA). The study found that the most significant challenge encountered by teachers was that their students with ID found it challenging to complete online assessments in a specified amount of time and also to communicate with their peers and teachers. The findings of this study highlight the need for teachers to receive support from parents and the Ministry of Education of the KSA to improve the effectiveness of remote teaching for students with intellectual disabilities.",academic achievement; adaptive behavior; aggression; article; assistive technology; augmentative and alternative communication; clinical effectiveness; coronavirus disease 2019; disabled person; distance learning; e-learning; face to face support group; human; inclusive education; intellectual impairment; Internet; internet access; internet literacy; learning; learning environment; motor performance; problem solving; quantitative analysis; reinforcement (psychology); Saudi Arabia; self concept; self-directed learning; social work; special education; teacher; teaching; tertiary education; work experience
